iso3,year,pop,pop_15_64_pct,pop_65_plus_pct,IMR,urban,LA,PSR
ABW,1990,62753.0,67.3901572175749,7.21447084568466,22.3,50.319,180.0,9.340970205442629
ABW,1995,79805.0,67.3628125082326,6.2811191021892,21.8,48.767,180.0,10.724651357869362
ABW,2000,90588.0,69.7746207533672,6.77827661767771,21.3,46.717,180.0,10.293858555638664
ABW,2005,97635.0,70.1082457815982,8.13116841770137,19.9,44.875,180.0,8.622161315583396
ABW,2010,101838.0,69.7093798538659,9.48922972426296,18.0,43.059,180.0,7.346157894736846
AFG,1990,12045660.0,50.0840136613519,2.24271646385503,144.5,21.177,652230.0,22.331852674440142
AFG,1995,17065836.0,48.997366697927,2.25945281143721,124.8,21.624,652230.0,21.685501219545444
AFG,2000,20130327.0,47.713099742493,2.26197021041933,110.1,22.078,652230.0,21.0936021715546
AFG,2005,24404567.0,47.6806841112977,2.26974934650551,93.7,22.703,652230.0,21.0070262536727
AFG,2010,28284089.0,49.2260551369721,2.30661490116607,76.9,23.737,652230.0,21.34125428223268
AGO,1990,11626360.0,52.5605113105267,2.25775746913727,122.3,37.144,1246700.0,23.279963427874748
AGO,1995,13699778.0,51.6733117865122,2.4604267310025,123.2,44.169,1246700.0,21.00176816297957
AGO,2000,16194869.0,51.7076319576167,2.67386240277283,115.0,50.087,1246700.0,19.33817981957307
AGO,2005,19291161.0,52.0638895726361,2.74989158894821,94.4,56.0,1246700.0,18.93306986423771
AGO,2010,23294825.0,52.1299279990298,2.72990245687615,68.9,59.783,1246700.0,19.095894019115438
ALB,1990,3286542.0,61.9262371848884,5.37906738507965,27.2,36.428,27400.0,11.512448674031887
ALB,1995,3187784.0,62.3897713319996,6.23329211889766,22.2,38.911,27400.0,10.00912040410406
ALB,2000,3089027.0,63.0526057298341,7.33069132123503,17.9,41.741,27400.0,8.601181384788056
ALB,2005,3011487.0,65.170542224898,8.95907851317178,13.5,46.731,27400.0,7.274246132465881
ALB,2010,2913021.0,67.3838908889083,10.9200550479108,9.7,52.163,27400.0,6.170654872458727
ARE,1990,1898220.0,69.3918513133356,1.02740988926468,11.8,79.051,71020.0,67.54057172157408
ARE,1995,2434662.0,73.0619952457476,0.997776899262218,9.5,78.319,71020.0,73.22478131110424
ARE,2000,3493575.0,77.8879832423831,1.27509767571933,8.5,80.236,71020.0,61.083934764796425
ARE,2005,4664790.0,80.7422842185822,1.77435640189591,7.7,82.262,71020.0,45.50511054729964
ARE,2010,6869838.0,81.7040705422879,1.42194203445395,7.0,84.087,71020.0,57.45949452409546
ARG,1990,32755901.0,60.9510832872526,8.61060118602752,24.8,86.984,2736690.0,7.078609492001364
ARG,1995,35070020.0,61.425355617134,9.24019860838403,20.9,88.164,2736690.0,6.647622872672902
ARG,2000,37213984.0,62.1736105975646,9.65977735681297,16.7,89.142,2736690.0,6.436339917680815
ARG,2005,39216789.0,63.0960471662271,9.96522548078547,14.4,90.031,2736690.0,6.331622629902982
ARG,2010,41288694.0,63.9173106797385,10.4021031811045,12.4,90.849,2736690.0,6.144652631003005
ARM,1990,3552128.0,64.6085761279684,5.06775165024341,45.5,67.421,28470.0,12.748962574925152
ARM,1995,3307581.0,60.7186096548188,7.4566870083171,35.9,66.057,28470.0,8.142840055790726
ARM,2000,3221100.0,64.593888877069,9.14660843411173,27.8,64.666,28470.0,7.062059050890377
ARM,2005,3146400.0,67.6501512963722,11.1165828607505,21.3,63.938,28470.0,6.085516758501904
ARM,2010,3044800.0,69.9705705545878,10.7247572394866,16.4,63.44,28470.0,6.524210198154315
ATG,1990,63066.0,61.2274345333894,9.02142976064947,11.1,35.426,440.0,6.786888127251962
ATG,1995,68189.0,63.2401358000249,8.1142714680628,12.6,33.961,440.0,7.793692391107892
ATG,2000,74912.0,64.882128363947,7.36063648013669,12.2,32.127,440.0,8.814744287268772
ATG,2005,79611.0,67.0056085566602,7.10773076415799,10.8,29.218,440.0,9.427145003092694
ATG,2010,85320.0,69.0912500512772,7.15361489911569,9.5,26.238,440.0,9.658228885065936
AUS,1990,17065128.0,66.903895401096,11.0586596122525,7.6,85.433,7682300.0,6.049910002381254
